행정구명,사업장명,업태구분명,영업상태명,상세영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
강서구,(주)푸르웰 가덕해양Park 외부스넥,고속도로,영업/정상,영업,201201,,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,128.80787022,35.02284212
강서구,(주)푸르웰 가덕해양Park 커피점(외부),고속도로,영업/정상,영업,201307,,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,128.80787022,35.02284212
강서구,(주)푸르웰 가덕해양Park브라더꽈배기,고속도로,영업/정상,영업,201307,,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,128.80787022,35.02284212
강서구,(주)푸르웰가덕해양Park외부스넥2,고속도로,영업/정상,영업,201307,,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,128.80787022,35.02284212
강서구,서부산휴게소 푸드코트,고속도로,영업/정상,영업,202606,,"부산광역시 강서구 남해2지선고속도로 19, 1층 일부 (대저2동)",부산광역시 강서구 대저2동 4032 1층 일부,128.94973265,35.15643248
강서구,유가네한우곰탕,고속도로,영업/정상,영업,202206,,"부산광역시 강서구 남해2지선고속도로 19, 1층 일부 (대저2동)",부산광역시 강서구 대저2동 4032 1층 일부,128.94973265,35.15643248
강서구,커피에너지,고속도로,영업/정상,영업,202206,,"부산광역시 강서구 남해2지선고속도로 19, 1층 일부 (대저2동)",부산광역시 강서구 대저2동 4032 1층 일부,128.94973265,35.15643248
강서구,호두과자만주,고속도로,영업/정상,영업,202206,,"부산광역시 강서구 남해2지선고속도로 19, 1층 일부 (대저2동)",부산광역시 강서구 대저2동 4032 1층 일부,128.94973265,35.15643248
강서구,모리셔스 브라운 김해공항 국제선점,공항,영업/정상,영업,202309,,"부산광역시 강서구 공항진입로 108, 김해공항 국제선 1층 (대저2동)",부산광역시 강서구 대저2동 2350-1,128.94683285,35.1729346
강서구,엔제리너스커피 김해공항,공항,영업/정상,영업,201611,,"부산광역시 강서구 공항진입로 108, 2층 (대저2동, 김해공항국내선 격리대합실)",부산광역시 강서구 대저2동 2350 김해공항국내선 격리대합실 2층,128.94579963,35.1728734
강서구,호밀호두까페,과자점,영업/정상,영업,201404,,부산광역시 강서구 명지오션시티10로 130 (명지동),부산광역시 강서구 명지동 3254-5,128.91014632,35.08660787
강서구,(주)꿈을 실현하는 사람들 아몽즈커피 대저점,기타 휴게음식점,영업/정상,영업,202311,,"부산광역시 강서구 대저중앙로393번길 71, 1층 (대저1동)",부산광역시 강서구 대저1동 317-120,128.99023401,35.22319179
강서구,(주)오런 베이커리,기타 휴게음식점,영업/정상,영업,202307,,"부산광역시 강서구 낙동북로 167, 1층 (대저1동)",부산광역시 강서구 대저1동 1748-3,128.94739524,35.21495016
강서구,GS25지사공단점,기타 휴게음식점,영업/정상,영업,201609,,"부산광역시 강서구 과학산단2로20번길 2, 1층 (지사동)",부산광역시 강서구 지사동 1196-1 1층,128.83100203,35.15040339
